property	value_type
visibility	true
track_count	number
view_count	number
linkingId	true
row	true
alignment	overlay, stack
arrangement	parallel, serial, vertical, horizontal
layout	linear, circular
orientation	horizontal, vertical
mark	point, line, area, bar, rect, text, rule, brush, link, triangle
track.data.type	json, csv, bed, beddb, vcf, gff, bigwig, multivec, vector, matrix, bam
data_group	sparse, contiguous
y.type	quantitative, nominal, genomic
size	data_agnostic, data_dependent
color	data_agnostic, data_dependent
text	data_agnostic, data_dependent
