query	gt_extended
AREA_sw_0_7_s_0_7_cc_0_query	AREA_sw_1_2_s_1_2_cc_0
AREA_sw_0_7_s_0_7_cc_0_query	AREA_sw_1_0_s_1_0_cc_0
AREA_sw_0_7_s_0_7_cc_0_query	AREA_sw_1_2_s_1_0_cc_0
AREA_sw_0_7_s_0_7_cc_0_query	AREA_sw_0_7_s_1_0_cc_0
AREA_sw_0_7_s_0_7_cc_0_query	AREA_sw_1_0_s_1_2_cc_0
AREA_sw_0_7_s_0_7_cc_0_query	AREA_sw_1_2_s_0_7_cc_0
AREA_sw_0_7_s_0_7_cc_0_query	AREA_sw_0_7_s_0_7_cc_0
AREA_sw_0_7_s_0_7_cc_0_query	AREA_sw_0_7_s_1_2_cc_0
AREA_sw_0_7_s_0_7_cc_0_query	AREA_sw_1_0_s_0_7_cc_0
AREA_sw_0_7_s_1_0_cc_1_query	AREA_sw_1_0_s_1_2_cc_1
AREA_sw_0_7_s_1_0_cc_1_query	AREA_sw_1_0_s_1_0_cc_1
AREA_sw_0_7_s_1_0_cc_1_query	AREA_sw_0_7_s_1_0_cc_1
AREA_sw_0_7_s_1_0_cc_1_query	AREA_sw_1_2_s_1_0_cc_1
AREA_sw_0_7_s_1_0_cc_1_query	AREA_sw_0_7_s_0_7_cc_1
AREA_sw_0_7_s_1_0_cc_1_query	AREA_sw_1_2_s_0_7_cc_1
AREA_sw_0_7_s_1_0_cc_1_query	AREA_sw_1_2_s_1_2_cc_1
AREA_sw_0_7_s_1_0_cc_1_query	AREA_sw_1_0_s_0_7_cc_1
AREA_sw_0_7_s_1_0_cc_1_query	AREA_sw_0_7_s_1_2_cc_1
AREA_sw_0_7_s_1_2_cc_3_query	AREA_sw_1_2_s_0_7_cc_3
AREA_sw_0_7_s_1_2_cc_3_query	AREA_sw_0_7_s_1_2_cc_3
AREA_sw_0_7_s_1_2_cc_3_query	AREA_sw_1_2_s_1_0_cc_3
AREA_sw_0_7_s_1_2_cc_3_query	AREA_sw_1_0_s_1_2_cc_3
AREA_sw_0_7_s_1_2_cc_3_query	AREA_sw_0_7_s_1_0_cc_3
AREA_sw_0_7_s_1_2_cc_3_query	AREA_sw_1_0_s_0_7_cc_3
AREA_sw_0_7_s_1_2_cc_3_query	AREA_sw_0_7_s_0_7_cc_3
AREA_sw_0_7_s_1_2_cc_3_query	AREA_sw_1_0_s_1_0_cc_3
AREA_sw_0_7_s_1_2_cc_3_query	AREA_sw_1_2_s_1_2_cc_3
AREA_sw_1_0_s_0_7_oc_query	AREA_sw_1_2_s_1_0_oc
AREA_sw_1_0_s_0_7_oc_query	AREA_sw_1_0_s_0_7_oc
AREA_sw_1_0_s_0_7_oc_query	AREA_sw_1_0_s_1_0_oc
AREA_sw_1_0_s_0_7_oc_query	AREA_sw_1_2_s_0_7_oc
AREA_sw_1_0_s_0_7_oc_query	AREA_sw_0_7_s_1_0_oc
AREA_sw_1_0_s_0_7_oc_query	AREA_sw_1_2_s_1_2_oc
AREA_sw_1_0_s_0_7_oc_query	AREA_sw_1_0_s_1_2_oc
AREA_sw_1_0_s_0_7_oc_query	AREA_sw_0_7_s_0_7_oc
AREA_sw_1_0_s_0_7_oc_query	AREA_sw_0_7_s_1_2_oc
AREA_sw_1_2_s_0_7_cc_2_query	AREA_sw_1_0_s_0_7_cc_2
AREA_sw_1_2_s_0_7_cc_2_query	AREA_sw_1_0_s_1_0_cc_2
AREA_sw_1_2_s_0_7_cc_2_query	AREA_sw_1_2_s_1_0_cc_2
AREA_sw_1_2_s_0_7_cc_2_query	AREA_sw_0_7_s_1_0_cc_2
AREA_sw_1_2_s_0_7_cc_2_query	AREA_sw_1_2_s_0_7_cc_2
AREA_sw_1_2_s_0_7_cc_2_query	AREA_sw_1_0_s_1_2_cc_2
AREA_sw_1_2_s_0_7_cc_2_query	AREA_sw_0_7_s_0_7_cc_2
AREA_sw_1_2_s_0_7_cc_2_query	AREA_sw_1_2_s_1_2_cc_2
AREA_sw_1_2_s_0_7_cc_2_query	AREA_sw_0_7_s_1_2_cc_2
BAR_sw_0_7_s_0_7_cc_1_query	BAR_sw_1_2_s_1_2_cc_1
BAR_sw_0_7_s_0_7_cc_1_query	BAR_sw_1_2_s_0_7_cc_1
BAR_sw_0_7_s_0_7_cc_1_query	BAR_sw_0_7_s_0_7_cc_1
BAR_sw_0_7_s_0_7_cc_1_query	BAR_sw_1_0_s_1_0_cc_1
BAR_sw_0_7_s_0_7_cc_1_query	BAR_sw_1_2_s_1_0_cc_1
BAR_sw_0_7_s_0_7_cc_1_query	BAR_sw_0_7_s_1_0_cc_1
BAR_sw_0_7_s_0_7_cc_1_query	BAR_sw_1_0_s_0_7_cc_1
BAR_sw_0_7_s_0_7_cc_1_query	BAR_sw_0_7_s_1_2_cc_1
BAR_sw_0_7_s_0_7_cc_1_query	BAR_sw_1_0_s_1_2_cc_1
BAR_sw_0_7_s_1_0_cc_2_query	BAR_sw_1_2_s_1_2_cc_2
BAR_sw_0_7_s_1_0_cc_2_query	BAR_sw_1_0_s_0_7_cc_2
BAR_sw_0_7_s_1_0_cc_2_query	BAR_sw_1_2_s_0_7_cc_2
BAR_sw_0_7_s_1_0_cc_2_query	BAR_sw_0_7_s_0_7_cc_2
BAR_sw_0_7_s_1_0_cc_2_query	BAR_sw_1_2_s_1_0_cc_2
BAR_sw_0_7_s_1_0_cc_2_query	BAR_sw_0_7_s_1_0_cc_2
BAR_sw_0_7_s_1_0_cc_2_query	BAR_sw_1_0_s_1_0_cc_2
BAR_sw_0_7_s_1_0_cc_2_query	BAR_sw_1_0_s_1_2_cc_2
BAR_sw_0_7_s_1_0_cc_2_query	BAR_sw_0_7_s_1_2_cc_2
BAR_sw_0_7_s_1_2_cc_3_query	BAR_sw_1_0_s_0_7_cc_3
BAR_sw_0_7_s_1_2_cc_3_query	BAR_sw_1_0_s_1_0_cc_3
BAR_sw_0_7_s_1_2_cc_3_query	BAR_sw_1_2_s_1_0_cc_3
BAR_sw_0_7_s_1_2_cc_3_query	BAR_sw_0_7_s_0_7_cc_3
BAR_sw_0_7_s_1_2_cc_3_query	BAR_sw_0_7_s_1_0_cc_3
BAR_sw_0_7_s_1_2_cc_3_query	BAR_sw_1_0_s_1_2_cc_3
BAR_sw_0_7_s_1_2_cc_3_query	BAR_sw_1_2_s_0_7_cc_3
BAR_sw_0_7_s_1_2_cc_3_query	BAR_sw_0_7_s_1_2_cc_3
BAR_sw_0_7_s_1_2_cc_3_query	BAR_sw_1_2_s_1_2_cc_3
BAR_sw_1_0_s_0_7_oc_query	BAR_sw_1_2_s_1_0_oc
BAR_sw_1_0_s_0_7_oc_query	BAR_sw_1_0_s_1_0_oc
BAR_sw_1_0_s_0_7_oc_query	BAR_sw_1_0_s_1_2_oc
BAR_sw_1_0_s_0_7_oc_query	BAR_sw_0_7_s_0_7_oc
BAR_sw_1_0_s_0_7_oc_query	BAR_sw_1_0_s_0_7_oc
BAR_sw_1_0_s_0_7_oc_query	BAR_sw_1_2_s_0_7_oc
BAR_sw_1_0_s_0_7_oc_query	BAR_sw_0_7_s_1_0_oc
BAR_sw_1_0_s_0_7_oc_query	BAR_sw_1_2_s_1_2_oc
BAR_sw_1_0_s_0_7_oc_query	BAR_sw_0_7_s_1_2_oc
BAR_sw_1_0_s_1_2_cc_0_query	BAR_sw_1_2_s_1_0_cc_0
BAR_sw_1_0_s_1_2_cc_0_query	BAR_sw_1_0_s_1_0_cc_0
BAR_sw_1_0_s_1_2_cc_0_query	BAR_sw_0_7_s_1_0_cc_0
BAR_sw_1_0_s_1_2_cc_0_query	BAR_sw_0_7_s_1_2_cc_0
BAR_sw_1_0_s_1_2_cc_0_query	BAR_sw_1_0_s_1_2_cc_0
BAR_sw_1_0_s_1_2_cc_0_query	BAR_sw_1_2_s_0_7_cc_0
