query	GT_extended
EX_SPEC_CYTOBANDS_sw_1_2_s_1_2_oc_circular_query	EX_SPEC_CYTOBANDS_sw_1_2_s_1_0_oc_circular
EX_SPEC_CYTOBANDS_sw_1_2_s_1_2_oc_circular_query	EX_SPEC_CYTOBANDS_sw_0_7_s_1_0_cc_0_circular
EX_SPEC_CYTOBANDS_sw_1_2_s_1_2_oc_circular_query	EX_SPEC_CYTOBANDS_sw_1_2_s_0_7_oc_circular
EX_SPEC_CYTOBANDS_sw_1_2_s_1_2_oc_circular_query	EX_SPEC_CYTOBANDS_sw_1_0_s_1_0_oc_circular
EX_SPEC_CYTOBANDS_sw_1_2_s_1_2_oc_circular_query	EX_SPEC_CYTOBANDS_sw_1_2_s_1_2_cc_0_circular
EX_SPEC_CYTOBANDS_sw_1_2_s_1_2_oc_circular_query	EX_SPEC_CYTOBANDS_sw_1_2_s_0_7_cc_0_circular
EX_SPEC_CYTOBANDS_sw_1_2_s_1_2_oc_circular_query	EX_SPEC_CYTOBANDS_sw_1_0_s_0_7_oc_circular
EX_SPEC_CYTOBANDS_sw_1_2_s_1_2_oc_circular_query	EX_SPEC_CYTOBANDS_sw_1_2_s_1_0_cc_0_circular
EX_SPEC_CYTOBANDS_sw_1_2_s_1_2_oc_circular_query	EX_SPEC_CYTOBANDS_sw_0_7_s_1_0_oc_circular
EX_SPEC_CYTOBANDS_sw_1_2_s_1_2_oc_circular_query	EX_SPEC_CYTOBANDS_sw_1_0_s_1_0_cc_0_circular
EX_SPEC_CYTOBANDS_sw_1_2_s_1_2_oc_circular_query	EX_SPEC_CYTOBANDS_sw_1_2_s_1_2_oc_circular
EX_SPEC_CYTOBANDS_sw_1_2_s_1_2_oc_circular_query	EX_SPEC_CYTOBANDS_sw_1_0_s_1_2_oc_circular
EX_SPEC_CYTOBANDS_sw_1_2_s_1_2_oc_circular_query	EX_SPEC_CYTOBANDS_sw_1_0_s_1_2_cc_0_circular
EX_SPEC_CYTOBANDS_sw_1_2_s_1_2_oc_circular_query	EX_SPEC_CYTOBANDS_sw_1_0_s_0_7_cc_0_circular
	
