query_modality,document_modality,embedding_method,k=1,k=2,k=3,k=4,k=5
Image,Image,BiomedCLIP,0.6519,0.6862,0.7107,0.7303,0.7401
Image,Spec,BiomedCLIP,0.0147,0.0196,0.0196,0.0196,0.0294
Image,Text (AltGosling + LLM),BiomedCLIP,0.2107,0.3137,0.3725,0.4264,0.4656
Image,Text (AltGosling),BiomedCLIP,0.1421,0.1715,0.1862,0.1862,0.1911
Spec,Image,BiomedCLIP,0.0343,0.0343,0.0441,0.0441,0.0441
Spec,Spec,BiomedCLIP,0.3333,0.4068,0.4509,0.4852,0.5147
Spec,Spec,Frequency Count,0.6127,0.7205,0.7647,0.8235,0.8382
Spec,Spec,One Hot,0.6127,0.6617,0.75,0.8039,0.8137
Spec,Spec,Text Model,0.5882,0.6029,0.6225,0.6373,0.6373
Spec,Text (AltGosling + LLM),BiomedCLIP,0.0294,0.0588,0.0735,0.0882,0.1029
Spec,Text (AltGosling + LLM),Text Model,0.3627,0.4706,0.5294,0.5637,0.5784
Spec,Text (AltGosling),BiomedCLIP,0.0294,0.0294,0.0294,0.0294,0.0294
Spec,Text (AltGosling),Text Model,0.2353,0.3186,0.4069,0.4461,0.4559
Text (AltGosling + LLM),Image,BiomedCLIP,0.2254,0.2745,0.3088,0.3333,0.3627
Text (AltGosling + LLM),Spec,BiomedCLIP,0.0392,0.0637,0.0784,0.0931,0.098
Text (AltGosling + LLM),Spec,Text Model,0.3529,0.3824,0.4069,0.4412,0.451
Text (AltGosling + LLM),Text (AltGosling + LLM),BiomedCLIP,0.4509,0.5539,0.6127,0.6421,0.6764
Text (AltGosling + LLM),Text (AltGosling + LLM),Text Model,0.3824,0.4755,0.5147,0.5637,0.598
Text (AltGosling + LLM),Text (AltGosling),BiomedCLIP,0.2205,0.2794,0.3235,0.3382,0.348
Text (AltGosling + LLM),Text (AltGosling),Text Model,0.2598,0.3627,0.451,0.4657,0.4706
Text (AltGosling),Image,BiomedCLIP,0.0784,0.1176,0.1666,0.1666,0.1715
Text (AltGosling),Spec,BiomedCLIP,0.0245,0.0441,0.0441,0.049,0.049
Text (AltGosling),Spec,Text Model,0.1667,0.2059,0.2353,0.25,0.2549
Text (AltGosling),Text (AltGosling + LLM),BiomedCLIP,0.2696,0.3186,0.3725,0.4117,0.4362
Text (AltGosling),Text (AltGosling + LLM),Text Model,0.1961,0.2745,0.3186,0.3529,0.3824
Text (AltGosling),Text (AltGosling),BiomedCLIP,0.4362,0.5343,0.5784,0.6323,0.6519
Text (AltGosling),Text (AltGosling),Text Model,0.2696,0.3578,0.4608,0.4804,0.4951
