,query_modality,document_modality,embedding_method,k=1,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10
1,Image,Image,BiomedCLIP,0.652,0.6863,0.7108,0.7304,0.7402,0.75,0.7549,0.7549,0.7598,0.7598
2,Image,Spec,BiomedCLIP,0.0147,0.0196,0.0196,0.0196,0.0294,0.0294,0.0392,0.0392,0.0392,0.0392
3,Image,Text (AltGosling + LLM),BiomedCLIP,0.2108,0.3137,0.3725,0.4265,0.4657,0.5,0.5196,0.5441,0.549,0.5588
4,Image,Text (AltGosling),BiomedCLIP,0.1422,0.1716,0.1863,0.1863,0.1912,0.1912,0.1912,0.1961,0.201,0.2255
5,Spec,Image,BiomedCLIP,0.0343,0.0343,0.0441,0.0441,0.0441,0.049,0.049,0.049,0.049,0.0539
6,Spec,Spec,BiomedCLIP,0.3333,0.4069,0.451,0.4853,0.5147,0.5245,0.549,0.5637,0.5686,0.5686
7,Spec,Spec,Frequency Count,0.6127,0.7206,0.7647,0.8235,0.8382,0.8824,0.8873,0.8922,0.902,0.902
8,Spec,Spec,One Hot,0.6127,0.6618,0.75,0.8039,0.8137,0.848,0.8578,0.8627,0.8676,0.8725
9,Spec,Text (AltGosling + LLM),BiomedCLIP,0.0294,0.0588,0.0735,0.0882,0.1029,0.1127,0.1225,0.1275,0.1373,0.1471
10,Spec,Text (AltGosling),BiomedCLIP,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0343,0.0392,0.0392,0.0441
11,Text (AltGosling + LLM),Image,BiomedCLIP,0.2255,0.2745,0.3088,0.3333,0.3627,0.3725,0.3824,0.3873,0.402,0.4167
12,Text (AltGosling + LLM),Spec,BiomedCLIP,0.0392,0.0637,0.0784,0.0931,0.098,0.1078,0.1127,0.1176,0.1176,0.1225
13,Text (AltGosling + LLM),Text (AltGosling + LLM),BiomedCLIP,0.451,0.5539,0.6127,0.6422,0.6765,0.6912,0.7206,0.7402,0.7598,0.7598
14,Text (AltGosling + LLM),Text (AltGosling),BiomedCLIP,0.2206,0.2794,0.3235,0.3382,0.348,0.3676,0.3775,0.3873,0.3873,0.402
15,Text (AltGosling),Image,BiomedCLIP,0.0784,0.1176,0.1667,0.1667,0.1716,0.1912,0.2304,0.2353,0.2402,0.25
16,Text (AltGosling),Spec,BiomedCLIP,0.0245,0.0441,0.0441,0.049,0.049,0.049,0.0588,0.0588,0.0588,0.0588
17,Text (AltGosling),Text (AltGosling + LLM),BiomedCLIP,0.2696,0.3186,0.3725,0.4118,0.4363,0.4902,0.5098,0.5098,0.5147,0.5245
18,Text (AltGosling),Text (AltGosling),BiomedCLIP,0.4363,0.5343,0.5784,0.6324,0.652,0.6667,0.6765,0.6814,0.6814,0.6961
19,Spec,Spec,Text Model,0.5882,0.6029,0.6225,0.6373,0.6373,0.6569,0.6667,0.6667,0.6667,0.6961
20,Spec,Text (AltGosling + LLM),Text Model,0.3627,0.4706,0.5294,0.5637,0.5784,0.5931,0.6176,0.6471,0.652,0.6667
21,Spec,Text (AltGosling),Text Model,0.2353,0.3186,0.4069,0.4461,0.4559,0.4657,0.4657,0.4755,0.4755,0.4853
22,Text (AltGosling + LLM),Spec,Text Model,0.3529,0.3824,0.4069,0.4412,0.451,0.451,0.4804,0.4853,0.4902,0.5441
23,Text (AltGosling + LLM),Text (AltGosling + LLM),Text Model,0.3824,0.4755,0.5147,0.5637,0.598,0.6324,0.652,0.6765,0.6765,0.6814
24,Text (AltGosling + LLM),Text (AltGosling),Text Model,0.2598,0.3627,0.451,0.4657,0.4706,0.4804,0.4853,0.4853,0.4853,0.5
25,Text (AltGosling),Spec,Text Model,0.1667,0.2059,0.2353,0.25,0.2549,0.2549,0.2892,0.2892,0.2941,0.3824
26,Text (AltGosling),Text (AltGosling + LLM),Text Model,0.1961,0.2745,0.3186,0.3529,0.3824,0.4069,0.4216,0.4265,0.4314,0.4559
27,Text (AltGosling),Text (AltGosling),Text Model,0.2696,0.3578,0.4608,0.4804,0.4951,0.4951,0.4951,0.4951,0.4951,0.4951
