query_modality,document_modality,embedding_method,smallest_k_matched,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10
Image,Image,BiomedCLIP,10498,0.6519607843137255,0.6862745098039216,0.7107843137254902,0.7303921568627451,0.7401960784313726,0.75,0.7549019607843137,0.7549019607843137,0.7598039215686274,0.7598039215686274
Image,Spec,BiomedCLIP,216187,0.014705882352941176,0.019607843,0.019607843,0.019607843,0.029411764705882353,0.029411764705882353,0.039215686,0.039215686,0.039215686,0.039215686
Image,Text (AltGosling + LLM),BiomedCLIP,12332,0.2107843137254902,0.3137254901960784,0.37254901960784315,0.4264705882352941,0.46568627450980393,0.5,0.5196078431372549,0.5441176470588235,0.5490196078431373,0.5588235294117647
Image,Text (AltGosling),BiomedCLIP,66884,0.14215686274509803,0.1715686274509804,0.18627450980392157,0.18627450980392157,0.19117647058823528,0.19117647058823528,0.19117647058823528,0.19607843137254902,0.20098039215686275,0.22549019607843138
Spec,Image,BiomedCLIP,190908,0.034313725,0.034313725,0.044117647,0.044117647,0.044117647,0.049019607843137254,0.049019607843137254,0.049019607843137254,0.049019607843137254,0.053921569
Spec,Spec,BiomedCLIP,34766,0.3333333333333333,0.4068627450980392,0.45098039215686275,0.4852941176470588,0.5147058823529411,0.5245098039215687,0.5490196078431373,0.5637254901960784,0.5686274509803921,0.5686274509803921
Spec,Spec,Frequency Count,1112,0.6127450980392157,0.7205882352941176,0.7647058823529411,0.8235294117647058,0.8382352941176471,0.8823529411764706,0.8872549019607843,0.8921568627450981,0.9019607843137255,0.9019607843137255
Spec,Spec,One Hot,2758,0.6127450980392157,0.6617647058823529,0.75,0.803921569,0.8137254901960784,0.8480392156862745,0.8578431372549019,0.8627450980392157,0.8676470588235294,0.8725490196078431
Spec,Text (AltGosling + LLM),BiomedCLIP,54803,0.029411764705882353,0.058823529411764705,0.073529412,0.088235294,0.10294117647058823,0.11274509803921569,0.12254901960784313,0.12745098039215685,0.13725490196078433,0.14705882352941177
Spec,Text (AltGosling),BiomedCLIP,229314,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.034313725,0.039215686,0.039215686,0.044117647
Text (AltGosling + LLM),Image,BiomedCLIP,30350,0.22549019607843138,0.27450980392156865,0.3088235294117647,0.3333333333333333,0.3627450980392157,0.37254901960784315,0.38235294117647056,0.3872549019607843,0.4019607843137255,0.4166666666666667
Text (AltGosling + LLM),Spec,BiomedCLIP,150746,0.039215686,0.06372549,0.078431373,0.093137255,0.098039216,0.10784313725490197,0.11274509803921569,0.11764705882352941,0.11764705882352941,0.12254901960784313
Text (AltGosling + LLM),Text (AltGosling + LLM),BiomedCLIP,10052,0.45098039215686275,0.553921569,0.6127450980392157,0.6421568627450981,0.6764705882352942,0.6911764705882353,0.7205882352941176,0.7401960784313726,0.7598039215686274,0.7598039215686274
Text (AltGosling + LLM),Text (AltGosling),BiomedCLIP,51559,0.22058823529411764,0.27941176470588236,0.3235294117647059,0.3382352941176471,0.3480392156862745,0.36764705882352944,0.37745098039215685,0.3872549019607843,0.3872549019607843,0.4019607843137255
Text (AltGosling),Image,BiomedCLIP,58741,0.078431373,0.11764705882352941,0.16666666666666666,0.16666666666666666,0.1715686274509804,0.19117647058823528,0.23039215686274508,0.23529411764705882,0.24019607843137256,0.25
Text (AltGosling),Spec,BiomedCLIP,172967,0.024509803921568627,0.044117647,0.044117647,0.049019607843137254,0.049019607843137254,0.049019607843137254,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
Text (AltGosling),Text (AltGosling + LLM),BiomedCLIP,20325,0.2696078431372549,0.31862745098039214,0.37254901960784315,0.4117647058823529,0.4362745098039216,0.49019607843137253,0.5098039215686274,0.5098039215686274,0.5147058823529411,0.5245098039215687
Text (AltGosling),Text (AltGosling),BiomedCLIP,23833,0.4362745098039216,0.5343137254901961,0.5784313725490197,0.6323529411764706,0.6519607843137255,0.6666666666666666,0.6764705882352942,0.6813725490196079,0.6813725490196079,0.696078431
