,UMAP_1,UMAP_2,file_name,class
0,-61.2584,-62.2291,AREA_sw_0_7_s_0_7_cc_0,AREA
1,-66.06809,-67.46355,AREA_sw_0_7_s_0_7_cc_1,AREA
2,-67.10991,-62.782196,AREA_sw_0_7_s_0_7_cc_2,AREA
3,-67.63659,-62.150887,AREA_sw_0_7_s_0_7_cc_3,AREA
4,-38.009544,-5.9459515,AREA_sw_0_7_s_0_7_oc,AREA
5,-68.4932,-64.98951,AREA_sw_0_7_s_1_0_cc_0,AREA
6,-66.17332,-63.37231,AREA_sw_0_7_s_1_0_cc_1,AREA
7,-66.265434,-62.015842,AREA_sw_0_7_s_1_0_cc_2,AREA
8,-66.10324,-67.23523,AREA_sw_0_7_s_1_0_cc_3,AREA
9,-36.58117,-5.676914,AREA_sw_0_7_s_1_0_oc,AREA
10,-67.32588,-63.889748,AREA_sw_0_7_s_1_2_cc_0,AREA
11,-66.02178,-61.977627,AREA_sw_0_7_s_1_2_cc_1,AREA
12,-66.35933,-67.04352,AREA_sw_0_7_s_1_2_cc_2,AREA
13,-65.59718,-60.23786,AREA_sw_0_7_s_1_2_cc_3,AREA
14,-37.688362,-3.842104,AREA_sw_0_7_s_1_2_oc,AREA
15,-65.51492,-61.262768,AREA_sw_1_0_s_0_7_cc_0,AREA
16,-66.84944,-60.653854,AREA_sw_1_0_s_0_7_cc_1,AREA
17,-65.350716,-66.9877,AREA_sw_1_0_s_0_7_cc_2,AREA
18,-67.12631,-65.81074,AREA_sw_1_0_s_0_7_cc_3,AREA
19,-39.930035,-4.9330792,AREA_sw_1_0_s_0_7_oc,AREA
20,-65.15189,-60.80287,AREA_sw_1_0_s_1_0_cc_0,AREA
21,-62.334183,-61.814655,AREA_sw_1_0_s_1_0_cc_1,AREA
22,-62.283848,-68.47571,AREA_sw_1_0_s_1_0_cc_2,AREA
23,-66.00431,-62.78496,AREA_sw_1_0_s_1_0_cc_3,AREA
24,-36.01763,-7.184987,AREA_sw_1_0_s_1_0_oc,AREA
25,-67.98765,-63.35372,AREA_sw_1_0_s_1_2_cc_0,AREA
26,-66.79922,-65.27687,AREA_sw_1_0_s_1_2_cc_1,AREA
27,-67.68405,-61.86524,AREA_sw_1_0_s_1_2_cc_2,AREA
28,-66.18556,-61.281986,AREA_sw_1_0_s_1_2_cc_3,AREA
29,-38.96371,-5.260652,AREA_sw_1_0_s_1_2_oc,AREA
30,-66.13322,-64.31896,AREA_sw_1_2_s_0_7_cc_0,AREA
31,-66.926506,-65.186295,AREA_sw_1_2_s_0_7_cc_1,AREA
32,-68.246666,-65.03969,AREA_sw_1_2_s_0_7_cc_2,AREA
33,-66.91826,-63.787785,AREA_sw_1_2_s_0_7_cc_3,AREA
34,-35.64492,-6.1954775,AREA_sw_1_2_s_0_7_oc,AREA
35,-68.13167,-63.900684,AREA_sw_1_2_s_1_0_cc_0,AREA
36,-67.47357,-66.76486,AREA_sw_1_2_s_1_0_cc_1,AREA
37,-66.277504,-65.47049,AREA_sw_1_2_s_1_0_cc_2,AREA
38,-67.76234,-65.1278,AREA_sw_1_2_s_1_0_cc_3,AREA
39,-37.43834,-5.0565853,AREA_sw_1_2_s_1_0_oc,AREA
40,-66.93521,-63.87974,AREA_sw_1_2_s_1_2_cc_0,AREA
41,-66.423485,-61.557125,AREA_sw_1_2_s_1_2_cc_1,AREA
42,-67.064476,-64.78378,AREA_sw_1_2_s_1_2_cc_2,AREA
43,-67.23094,-67.0082,AREA_sw_1_2_s_1_2_cc_3,AREA
44,-39.649815,-7.4125133,AREA_sw_1_2_s_1_2_oc,AREA
45,-63.060772,9.849295,BAR_sw_0_7_s_0_7_cc_0,BAR
46,-64.35609,8.085594,BAR_sw_0_7_s_0_7_cc_1,BAR
47,-64.576744,11.333618,BAR_sw_0_7_s_0_7_cc_2,BAR
48,-61.293785,13.181564,BAR_sw_0_7_s_0_7_cc_3,BAR
49,-61.53067,15.400709,BAR_sw_0_7_s_0_7_oc,BAR
50,-62.156456,11.578885,BAR_sw_0_7_s_1_0_cc_0,BAR
51,-64.71417,8.3575735,BAR_sw_0_7_s_1_0_cc_1,BAR
52,-64.22052,11.695065,BAR_sw_0_7_s_1_0_cc_2,BAR
53,-63.75191,14.281957,BAR_sw_0_7_s_1_0_cc_3,BAR
54,-62.95093,15.932216,BAR_sw_0_7_s_1_0_oc,BAR
