,UMAP_1,UMAP_2,file_name,class
0,33.046043,14.236167,EX_SPEC_ALIGNMENT_CHART_sw_1_2_s_0_7_cc_2,EX_SPEC_ALIGNMENT_CHART
1,-64.62653,57.89678,BRCA-EU-fc8130e0-a8b4-d80d-e040-11ac0c483272,BRCA-EU
2,26.778246,-2.4544656,breast_cancer_sw_1_0_s_0_5_cc_0,breast_cancer
3,-1.3901783,4.5703273,EX_SPEC_CIRCOS_sw_1_0_s_0_7_oc,EX_SPEC_CIRCOS
4,7.537893,8.463316,rule-mark_p_0_sw_1_2_s_0_7_oc,rule-mark
5,16.206142,-37.270607,combination-points_p_1_sw_0_7_s_1_2_cc_0,combination-points
6,33.292187,15.312794,EX_SPEC_ALIGNMENT_CHART_sw_1_0_s_1_2_cc_2,EX_SPEC_ALIGNMENT_CHART
7,18.893888,28.892998,breast_cancer_sw_1_2_s_1_0_cc_0,breast_cancer
8,-36.75579,-2.9305463,GFF_DEMO_sw_1_2_s_1_0_cc_0,GFF_DEMO
9,54.887024,-47.480835,circular-point-first_p_0_sw_1_2_s_0_7_oc,circular-point-first
10,44.90297,59.767,circular-bar-first_p_0_sw_0_7_s_1_2_cc_0,circular-bar-first
11,1.4661536,6.885303,EX_SPEC_CIRCOS_sw_1_2_s_1_0_cc_1,EX_SPEC_CIRCOS
12,-12.026297,-58.91309,combination-area-bar_p_0_sw_0_7_s_1_0_cc_0,combination-area-bar
13,-48.061172,9.123814,EX_SPEC_LINKING_sw_1_0_s_1_0_oc,EX_SPEC_LINKING
14,17.78139,2.6939538,EX_SPEC_GREMLIN_sw_0_7_s_1_2_cc_0,EX_SPEC_GREMLIN
15,-2.4746265,37.09972,example_sw_1_0_s_1_0_cc_0,example
16,-66.94519,58.62653,BRCA-EU-fc8130df-2211-cfcc-e040-11ac0d485dde,BRCA-EU
17,41.702168,-12.045064,circular-comb-heat-bar_p_1_sw_1_0_s_1_0_oc,circular-comb-heat-bar
18,-10.448734,-17.009256,multi_view_circular_ideograms_m_3_sw_1_0_s_1_0_oc_cc_0,multi_view_circular_ideograms
19,65.22182,-19.481052,basic-link_p_0_sw_1_0_s_0_7_oc,basic-link
20,-28.857037,62.527042,EX_SPEC_MATRIX_HFFC6_sw_1_2_s_0_7,EX_SPEC_MATRIX_HFFC6
21,-9.340311,4.626331,rule-mark_p_0_sw_1_2_s_1_2_cc_0,rule-mark
22,53.130287,33.96869,stratified-point_p_0_sw_1_2_s_0_7_oc,stratified-point
23,2.795149,-9.69241,circulars_p_3_cc_0,circulars
24,-18.287058,10.461018,EX_SPEC_SARS_COV_2_sw_0_7_s_1_2_cc_0,EX_SPEC_SARS_COV_2
25,4.2733207,-10.246983,circulars_p_2_cc_0,circulars
26,-64.337364,45.8616,GBM-US-53dec97d-0464-4ffd-8e2e-95b2b9a03af0,GBM-US
27,-72.25796,-17.459538,EX_SPEC_TEMPLATE_sw_0_7_s_1_2_cc_2,EX_SPEC_TEMPLATE
28,-0.5548896,14.041652,gene_annotation_single_2_s_1_0_cc_0,gene_annotation
29,-7.1181746,3.681876,rule-mark_p_0_sw_1_0_s_0_7_cc_0,rule-mark
30,18.521992,-63.019855,multi_layer_circular_m_2_sw_0_7_s_1_0_oc,multi_layer_circular
