,query_file,query_type,target_embedding_type,smallest_k_matched
0,EX_SPEC_MATRIX_HFFC6_sw_1_2_s_1_2_recolor_query2.json,specs,spec_frequency,58
1,EX_SPEC_MATRIX_HFFC6_sw_1_2_s_1_2_recolor_query2.json,specs,spec_onehot,46
2,EX_SPEC_MATRIX_HFFC6_sw_1_2_s_1_2_recolor_query2.json,specs,spec,2659
3,EX_SPEC_MATRIX_HFFC6_sw_1_2_s_1_2_recolor_query2.json,specs,text,695
4,EX_SPEC_MATRIX_HFFC6_sw_1_2_s_1_2_recolor_query2.json,specs,text_0_2_4,348
5,EX_SPEC_MATRIX_HFFC6_sw_1_2_s_1_2_recolor_query2.json,specs,text_0_2_4_llm_fs_single,476
6,EX_SPEC_MATRIX_HFFC6_sw_1_2_s_1_2_recolor_query2.json,specs,image,1440
7,scatterplot_p_0_sw_1_2_s_1_2_oc_query.json,specs,spec_frequency,1
8,scatterplot_p_0_sw_1_2_s_1_2_oc_query.json,specs,spec_onehot,1
9,scatterplot_p_0_sw_1_2_s_1_2_oc_query.json,specs,spec,3
10,scatterplot_p_0_sw_1_2_s_1_2_oc_query.json,specs,text,1922
11,scatterplot_p_0_sw_1_2_s_1_2_oc_query.json,specs,text_0_2_4,1948
12,scatterplot_p_0_sw_1_2_s_1_2_oc_query.json,specs,text_0_2_4_llm_fs_single,173
13,scatterplot_p_0_sw_1_2_s_1_2_oc_query.json,specs,image,1312
14,EX_SPEC_PERF_ALIGNMENT_sw_1_0_s_1_0_oc_query2.json,specs,spec_frequency,1
15,EX_SPEC_PERF_ALIGNMENT_sw_1_0_s_1_0_oc_query2.json,specs,spec_onehot,1
16,EX_SPEC_PERF_ALIGNMENT_sw_1_0_s_1_0_oc_query2.json,specs,spec,1
17,EX_SPEC_PERF_ALIGNMENT_sw_1_0_s_1_0_oc_query2.json,specs,text,1809
18,EX_SPEC_PERF_ALIGNMENT_sw_1_0_s_1_0_oc_query2.json,specs,text_0_2_4,1901
19,EX_SPEC_PERF_ALIGNMENT_sw_1_0_s_1_0_oc_query2.json,specs,text_0_2_4_llm_fs_single,236
20,EX_SPEC_PERF_ALIGNMENT_sw_1_0_s_1_0_oc_query2.json,specs,image,366
21,EX_SPEC_RESPONSIVE_COMPARATIVE_MATRICES_sw_0_7_s_0_7_oc_query.json,specs,spec_frequency,8
