,Unnamed: 0,query_file,query_type,target_embedding_type,smallest_k_matched
0,0,EX_SPEC_MATRIX_HFFC6_sw_1_2_s_1_2_recolor_query2.json,specs,spec_frequency,29
1,1,EX_SPEC_MATRIX_HFFC6_sw_1_2_s_1_2_recolor_query2.json,specs,spec_onehot,9
2,2,EX_SPEC_MATRIX_HFFC6_sw_1_2_s_1_2_recolor_query2.json,specs,spec,2626
3,3,EX_SPEC_MATRIX_HFFC6_sw_1_2_s_1_2_recolor_query2.json,specs,text,675
4,4,EX_SPEC_MATRIX_HFFC6_sw_1_2_s_1_2_recolor_query2.json,specs,text_0_2_4,342
5,5,EX_SPEC_MATRIX_HFFC6_sw_1_2_s_1_2_recolor_query2.json,specs,text_0_2_4_llm_fs_single,469
6,6,EX_SPEC_MATRIX_HFFC6_sw_1_2_s_1_2_recolor_query2.json,specs,image,898
7,7,scatterplot_p_0_sw_1_2_s_1_2_oc_query.json,specs,spec_frequency,1
8,8,scatterplot_p_0_sw_1_2_s_1_2_oc_query.json,specs,spec_onehot,1
9,9,scatterplot_p_0_sw_1_2_s_1_2_oc_query.json,specs,spec,3
10,10,scatterplot_p_0_sw_1_2_s_1_2_oc_query.json,specs,text,1922
11,11,scatterplot_p_0_sw_1_2_s_1_2_oc_query.json,specs,text_0_2_4,1948
12,12,scatterplot_p_0_sw_1_2_s_1_2_oc_query.json,specs,text_0_2_4_llm_fs_single,173
13,13,scatterplot_p_0_sw_1_2_s_1_2_oc_query.json,specs,image,1312
14,14,EX_SPEC_PERF_ALIGNMENT_sw_1_0_s_1_0_oc_query2.json,specs,spec_frequency,1
15,15,EX_SPEC_PERF_ALIGNMENT_sw_1_0_s_1_0_oc_query2.json,specs,spec_onehot,1
16,16,EX_SPEC_PERF_ALIGNMENT_sw_1_0_s_1_0_oc_query2.json,specs,spec,2
17,17,EX_SPEC_PERF_ALIGNMENT_sw_1_0_s_1_0_oc_query2.json,specs,text,1812
18,18,EX_SPEC_PERF_ALIGNMENT_sw_1_0_s_1_0_oc_query2.json,specs,text_0_2_4,1902
19,19,EX_SPEC_PERF_ALIGNMENT_sw_1_0_s_1_0_oc_query2.json,specs,text_0_2_4_llm_fs_single,459
20,20,EX_SPEC_PERF_ALIGNMENT_sw_1_0_s_1_0_oc_query2.json,specs,image,816
21,21,EX_SPEC_RESPONSIVE_COMPARATIVE_MATRICES_sw_0_7_s_0_7_oc_query.json,specs,spec_frequency,1
22,22,EX_SPEC_RESPONSIVE_COMPARATIVE_MATRICES_sw_0_7_s_0_7_oc_query.json,specs,spec_onehot,3
23,23,EX_SPEC_RESPONSIVE_COMPARATIVE_MATRICES_sw_0_7_s_0_7_oc_query.json,specs,spec,1
24,24,EX_SPEC_RESPONSIVE_COMPARATIVE_MATRICES_sw_0_7_s_0_7_oc_query.json,specs,text,440
25,25,EX_SPEC_RESPONSIVE_COMPARATIVE_MATRICES_sw_0_7_s_0_7_oc_query.json,specs,text_0_2_4,239
26,26,EX_SPEC_RESPONSIVE_COMPARATIVE_MATRICES_sw_0_7_s_0_7_oc_query.json,specs,text_0_2_4_llm_fs_single,49
